,speakerid,filename,birthplace,native_language,sex
0,11,arabic1,"riyadh, saudi arabia",arabic,female
1,12,arabic10,"cairo, egypt",arabic,male
2,13,arabic11,"monastir, tunisia",arabic,female
3,14,arabic12,"baghdad, iraq",arabic,male
4,15,arabic13,"zabbougha, lebanon",arabic,male
5,16,arabic2,"damascus, syria",arabic,male
6,17,arabic3,"doha, qatar",arabic,male
7,18,arabic4,"sharjah, united arab emirates",arabic,male
8,19,arabic5,"casablanca, morocco",arabic,female
9,20,arabic6,"sanaa, yemen",arabic,male
10,21,arabic7,"casablanca, morocco",arabic,female
11,22,arabic8,"casablanca, morocco",arabic,male
12,23,arabic9,"jerusalem, israel",arabic,female
13,61,english1,"pittsburgh, pennsylvania, usa",english,male
14,62,english10,"davenport, iowa, usa",english,female
15,63,english100,"miami, florida, usa",english,female
16,64,english101,"toronto, ontario, canada",english,female
17,65,english102,"torrington, connecticut, usa",english,male
18,66,english103,"staten island, new york, usa",english,male
19,67,english104,"youngstown, ohio, usa",english,female
20,68,english11,"staffordshire, uk",english,female
21,69,english12,"leicester, uk",english,female
22,70,english13,"henley on thames, oxfordshire, uk",english,male
23,71,english14,"belfast, northern ireland, uk",english,male
24,72,english15,"norton, virginia, usa",english,female
25,73,english16,"wise, virginia, usa",english,male
26,74,english17,"darwin va, virginia, usa",english,male
27,75,english18,"dickenson county, virginia, usa",english,female
28,76,english19,"louisville, kentucky, usa",english,male
29,77,english2,"birmingham, uk",english,female
30,78,english20,"mt. holly, north carolina, usa",english,female
31,79,english21,"boston, massachusetts, usa",english,female
32,80,english22,"panama city, panama",english,female
33,81,english23,"englewood, tennessee, usa",english,male
34,82,english24,"glasgow, scotland, uk",english,male
35,83,english25,"atlanta, georgia, usa",english,male
36,84,english26,"smith island, maryland, usa",english,male
37,85,english27,"smith island, maryland, usa",english,female
38,86,english28,"toronto, ontario, canada",english,male
39,87,english29,"lindsay, ontario, canada",english,female
40,88,english3,"brisbane, australia",english,female
41,89,english30,"st. mary's, ontario, canada",english,female
42,90,english31,"st. augustine, trinidad",english,female
43,91,english32,"fresno, california, usa",english,female
44,92,english33,"san diego, california, usa",english,male
45,93,english34,"ronkonkoma, new york, usa",english,female
46,94,english35,"milwaukee, wisconsin, usa",english,female
47,95,english36,"arcadia, wisconsin, usa",english,male
48,96,english37,"yole, india",english,female
49,97,english38,"littlehampton, uk",english,male
50,98,english39,"new orleans, louisiana, usa",english,female
51,99,english4,"saint anne's bay, jamaica",english,female
52,100,english40,"dudley, uk",english,male
53,101,english41,"wellington, new zealand",english,male
54,102,english42,"nigel, south africa",english,male
55,103,english43,"vancouver, british columbia, canada",english,male
56,104,english44,"winston salem, north carolina, usa",english,female
57,105,english45,"pine bluff, arkansas, usa",english,male
58,106,english46,"creswell, north carolina, usa",english,male
59,107,english47,"plantersville, arkansas, usa",english,female
60,108,english48,"port moresby, national capital district, papua new guinea",english,male
61,109,english49,"castro valley, california, usa",english,male
62,110,english5,"fairfax, virginia, usa",english,male
63,111,english50,"baltic, south dakota, usa",english,female
64,112,english51,"detroit, michigan, usa",english,male
65,113,english52,"calgary, alberta, canada",english,male
66,114,english53,"syracuse, new york, usa",english,male
67,115,english54,"new albany, indiana, usa",english,female
68,116,english55,"st. louis, missouri, usa",english,female
69,117,english56,"londonderry, northern ireland, uk",english,male
70,118,english57,"birmingham 1, uk",english,male
71,119,english58,"southhampton, uk",english,female
72,120,english59,"columbus, ohio, usa",english,male
73,121,english6,"brooklyn, new york, usa",english,female
74,122,english60,"chesapeake, virginia, usa",english,male
75,123,english61,"toronto, ontario, canada",english,male
76,124,english62,"west jordan, utah, usa",english,male
77,125,english63,"lewisville, texas, usa",english,male
78,126,english64,"montreal, quebec, canada",english,female
79,127,english65,"lewistown, pennsylvania, usa",english,male
80,128,english66,"baltimore, maryland, usa",english,male
81,129,english67,"princeton, indiana, usa",english,male
82,130,english68,"new york, new york, usa",english,male
83,131,english69,"adelaide, australia",english,male
84,132,english7,"macon, mississippi, usa",english,male
85,133,english70,"beaumont, texas, usa",english,male
86,134,english71,"west covina, california, usa",english,male
87,135,english72,"kilkenny, ireland",english,male
88,136,english73,"darwin, australia",english,male
89,137,english74,"wichita, kansas, usa",english,male
90,138,english75,"idaho falls, idaho, usa",english,male
91,139,english76,"boston, massachusetts, usa",english,female
92,140,english77,"melbourne, australia",english,male
93,141,english78,"caribou, maine, usa",english,female
94,142,english79,"boston, massachusetts, usa",english,male
95,143,english8,"perth, australia",english,female
96,144,english80,"glasgow, scotland, uk",english,male
97,145,english81,"st. paul, minnesota, usa",english,male
98,146,english82,"chicago, illinois, usa",english,female
99,147,english83,"winnfield, louisiana, usa",english,female
100,148,english84,"sydney, australia",english,male
101,149,english85,"strabane, northern ireland, uk",english,male
102,150,english86,"charleston, south carolina, usa",english,male
103,151,english87,"tamworth, australia",english,female
104,152,english88,"grand rapids, michigan, usa",english,male
105,153,english89,"kingston ma, massachusetts, usa",english,male
106,154,english9,"carthage, texas, usa",english,female
107,155,english90,"pittsburgh, pennsylvania, usa",english,male
108,156,english91,"kingston, jamaica",english,male
109,157,english92,"wisconsin rapids, wisconsin, usa",english,female
110,158,english93,"mamou, louisiana, usa",english,female
111,159,english94,"pensacola, florida, usa",english,female
112,160,english95,"mishawaka, indiana, usa",english,male
113,161,english96,"point pleasant, new jersey, usa",english,male
114,162,english97,"wilmington nc, north carolina, usa",english,male
115,163,english98,"spokane, washington, usa",english,male
116,164,english99,"pittsburgh, pennsylvania, usa",english,female
117,323,spanish1,"caracas, venezuela",spanish,male
118,324,spanish10,"san luis de la reina, el salvador",spanish,male
119,325,spanish11,"lima, peru",spanish,female
120,326,spanish12,"oviedo, spain",spanish,male
121,327,spanish13,"duitama, colombia",spanish,female
122,328,spanish14,"pereira, colombia",spanish,female
123,329,spanish15,"san juan, puerto rico",spanish,male
124,330,spanish16,"buenos aires, argentina",spanish,male
125,331,spanish17,"puebla, mexico",spanish,female
126,332,spanish18,"la paz, bolivia",spanish,male
127,333,spanish19,"havana, cuba",spanish,female
128,334,spanish2,"puerto la cruz, venezuela",spanish,male
129,335,spanish20,"managua, nicaragua",spanish,male
130,336,spanish21,"santiago, chile",spanish,male
131,337,spanish22,"madrid, spain",spanish,female
132,338,spanish23,"santiago, chile",spanish,male
133,339,spanish24,"mexico city, mexico",spanish,male
134,340,spanish25,"san jose, costa rica",spanish,male
135,341,spanish26,"burgos, spain",spanish,male
136,342,spanish27,"zaragoza, spain",spanish,male
137,343,spanish28,"san miguel, el salvador",spanish,female
138,344,spanish3,"bogota, colombia",spanish,female
139,345,spanish4,"cabanas, el salvador",spanish,female
140,346,spanish5,"bogota, colombia",spanish,female
141,347,spanish6,"lima, peru",spanish,male
142,348,spanish7,"bogota, colombia",spanish,female
143,349,spanish8,"san salvador, el salvador",spanish,male
144,350,spanish9,"araure, venezuela",spanish,male
145,407,english105,"windsor, ontario, canada",english,male
146,408,english106,"los angeles, california, usa",english,female
147,410,spanish29,"maracaibo, zulia, venezuela",spanish,male
148,416,english107,"chicago, illinois, usa",english,male
149,419,english108,"strabane, northern ireland, uk",english,male
150,420,english109,"concord, new hampshire, usa",english,female
151,421,english110,"great yarmouth, norfolk, uk",english,male
152,426,english111,"bombay, india",english,male
153,427,english112,"st. thomas, us virgin islands",english,male
154,428,arabic14,"amman, jordan",arabic,male
155,437,arabic15,"qayrawan, tunisia",arabic,male
156,439,english113,"wrexham, wales, uk",english,male
157,441,spanish30,"buenos aires, argentina",spanish,male
158,442,english114,"birmingham 2, alabama, usa",english,female
159,443,english115,"st. albans, hertfordshire, uk",english,male
160,444,english116,"atlanta, georgia, usa",english,male
161,445,english117,"elmore, alabama, usa",english,female
162,446,english118,"akron, ohio, usa",english,male
163,449,spanish31,"guayaquil, ecuador",spanish,female
164,450,spanish32,"santa cruz, bolivia",spanish,male
165,455,english119,"saskatoon, saskatchewan, canada",english,female
166,456,english120,"saskatoon, saskatchewan, canada",english,male
167,465,english121,"waconia, minnesota, usa",english,male
168,467,spanish33,"caracas, venezuela",spanish,male
169,468,english122,"kuala lumpur, malaysia",english,female
170,469,english123,"riverside, california, usa",english,female
171,471,arabic16,"meknes, morocco",arabic,male
172,476,spanish34,"cartagena, spain",spanish,male
173,479,spanish35,"mexico city, mexico",spanish,male
174,480,english124,"brooklyn, new york, usa",english,male
175,485,english125,"st. george, queensland, australia",english,male
176,487,english126,"cincinnati, ohio, usa",english,female
177,489,english127,"new britain, connecticut, usa",english,male
178,490,english128,"miami, florida, usa",english,female
179,492,english129,"blackpool, lancashire, uk",english,male
180,496,english130,"port elizabeth, south africa",english,male
181,497,english131,"west palm beach, florida, usa",english,male
182,499,spanish36,"montevideo, uruguay",spanish,male
183,503,english132,"toronto, ontario, canada",english,female
184,504,english133,"norwich, new york, usa",english,female
185,506,english134,"belfast, northern ireland, uk",english,female
186,507,english135,"orange beach, alabama, usa",english,male
187,508,english136,"calgary, alberta, canada",english,male
188,509,english137,"charleston, west virginia, usa",english,male
189,510,english138,"palmer, alaska, usa",english,female
190,511,english139,"providence, rhode island, usa",english,male
191,512,arabic17,"settat, morocco",arabic,male
192,515,english140,"quezon city, philippines",english,male
193,516,english141,"york, uk",english,male
194,517,english142,"avon, new york, usa",english,male
195,518,english143,"minneapolis, minnesota, usa",english,male
196,519,english144,"barneys river, nova scotia, canada",english,male
197,521,english145,"bury st. edmunds, uk",english,male
198,522,english146,"blytheville, arkansas, usa",english,male
199,523,english147,"merced, california, usa",english,female
200,525,english148,"sydney, australia",english,male
201,526,english149,"lawrenceville, georgia, usa",english,male
202,527,english150,"brownsville, kentucky, usa",english,male
203,528,english151,"baltimore, maryland, usa",english,male
204,529,english152,"adelaide, australia",english,male
205,533,english153,"brisbane, australia",english,male
206,534,english154,"glace bay, nova scotia, canada",english,male
207,535,english155,"oakland, california, usa",english,male
208,536,english156,"dublin, ireland",english,male
209,538,english157,"fort worth, texas, usa",english,male
210,539,arabic18,"kuwait city, kuwait",arabic,male
211,540,english158,"washington, district of columbia, usa",english,female
212,541,english159,"ottawa, ontario, canada",english,male
213,542,english160,"redwood falls, minnesota, usa",english,female
214,546,english161,"wakefield, ohio, usa",english,female
215,547,english163,"fairview park, ohio, usa",english,male
216,548,english162,"delaware, ohio, usa",english,female
217,549,english164,"leeds, uk",english,male
218,550,english165,"detroit, michigan, usa",english,female
219,551,english166,"glenside, pennsylvania, usa",english,male
220,552,english167,"lakeview, michigan, usa",english,male
221,554,english168,"oceanside, california, usa",english,male
222,555,english169,"cleveland, mississippi, usa",english,male
223,556,english170,"belmont, mississippi, usa",english,female
224,563,english171,"st. louis, missouri, usa",english,male
225,564,english172,"kingston, jamaica",english,male
226,567,english173,"libertyville, illinois, usa",english,male
227,568,english174,"kuching, sarawak, malaysia",english,female
228,572,english175,"seattle, washington, usa",english,male
229,573,english176,"elizabeth city, north carolina, usa",english,female
230,574,english177,"new orleans, louisiana, usa",english,female
231,575,spanish37,"tegucigalpa, honduras",spanish,female
232,576,spanish38,"tegucigalpa, honduras",spanish,male
233,583,english178,"wilkes-barre, pennsylvania, usa",english,male
234,584,english179,"huron, south dakota, usa",english,male
235,585,english180,"newport, rhode island, usa",english,male
236,586,english181,"new eagle, pennsylvania, usa",english,male
237,590,english182,"troy, new york, usa",english,male
238,595,english183,"corriverton, guyana",english,female
239,597,english184,"hillsboro, oregon, usa",english,female
240,604,english185,"oxford, uk",english,male
241,605,english186,"gadsden, alabama, usa",english,female
242,606,english187,"algona, iowa, usa",english,female
243,611,english188,"edinburgh, scotland, uk",english,male
244,614,spanish39,"pamplona, spain",spanish,male
245,617,english189,"grand forks, north dakota, usa",english,male
246,618,english190,"oak park, illinois, usa",english,male
247,625,arabic19,"khouribga, morocco",arabic,male
248,631,english191,"las cruces, new mexico, usa",english,male
249,636,english192,"east lansing, michigan, usa",english,female
250,637,english193,"honolulu, hawaii, usa",english,male
251,638,english194,"manchester, england, uk",english,male
252,639,english195,"delavan, wisconsin, usa",english,female
253,643,arabic20,"chtaura, beqa valley, lebanon",arabic,male
254,644,spanish40,"cartago, costa rica",spanish,male
255,654,english196,"suva, fiji",english,female
256,662,english197,"iowa city, iowa, usa",english,male
257,663,english198,"washington, district of columbia, usa",english,male
258,664,english199,"bay shore, new york, usa",english,male
259,667,english200,"berkeley, california, usa",english,female
260,668,english201,"warren, michigan, usa",english,female
261,670,arabic21,"beirut, lebanon",arabic,female
262,673,english202,"crisfield, maryland, usa",english,male
263,674,english203,"boston, massachusetts, usa",english,female
264,678,english204,"chicago, illinois, usa",english,male
265,679,english205,"blue earth, minnesota, usa",english,female
266,680,english206,"hucknall, nottinghamshire, england, uk",english,female
267,684,english207,"wilkes-barre, pennsylvania, usa",english,female
268,695,english208,"washington, dc, usa",english,male
269,702,english209,"saint johns, antigua and barbuda",english,female
270,705,english210,"trenton, nova scotia, canada",english,female
271,706,spanish41,"bonao, dominican republic",spanish,male
272,712,spanish42,"bogota, colombia",spanish,female
273,714,spanish43,"santiago-dr, dominican republic",spanish,male
274,715,spanish45,"santiago-dr, dominican republic",spanish,female
275,716,spanish44,"la romana, dominican republic",spanish,female
276,717,spanish46,"santo domingo, dominican republic",spanish,male
277,718,spanish47,"santo domingo, dominican republic",spanish,female
278,720,english211,"worcester, massachusetts, usa",english,male
279,729,english212,"spartanburg, south carolina, usa",english,male
280,731,spanish48,"bilbao, spain",spanish,male
281,732,spanish49,"tandil, argentina",spanish,male
282,734,english213,"dodge city, kansas, usa",english,male
283,737,english214,"myrtle beach, south carolina, usa",english,male
284,738,english215,"lemington spa, warwickshire, uk",english,male
285,739,english216,"chicago, illinois, usa",english,female
286,740,english217,"harrow, middlesex, uk",english,male
287,747,english218,"abingdon, virginia, usa",english,female
288,748,english219,"oakland, california, usa",english,female
289,749,english220,"anaheim, california, usa",english,female
290,752,spanish50,"santo domingo, dominican republic",spanish,male
291,753,spanish51,"caguas, puerto rico",spanish,male
292,754,english221,"london, uk",english,male
293,764,english222,"auburn, indiana, usa",english,female
294,767,english223,"erie, pennsylvania, usa",english,male
295,768,english224,"bridgetown, barbados",english,male
296,771,english225,"dundee, scotland, uk",english,male
297,772,english226,"walton-on-thames, surrey, uk",english,male
298,773,english227,"camberley, surrey, uk",english,female
299,774,english228,"glasgow, scotland, uk",english,female
300,775,english229,"burlington, vermont, usa",english,male
301,776,english230,"launceston, tasmania, australia",english,male
302,777,spanish52,"popayan, cauca, colombia",spanish,female
303,791,english231,"tampa, florida, usa",english,male
304,793,english233,"edmonton, alberta, canada",english,female
305,794,english234,"bloomington, indiana, usa",english,male
306,795,english235,"richmond, virginia, usa",english,female
307,797,spanish53,"bogota, colombia",spanish,male
308,798,english232,"metairie, louisiana, usa",english,female
309,799,english236,"st. charles, illinois, usa",english,male
310,800,spanish54,"vina del mar, chile",spanish,male
311,801,english237,"jeffersonville, ohio, usa",english,female
312,802,english238,"vancouver, british  columbia, canada",english,female
313,803,english239,"fort kobbe, panama",english,male
314,810,spanish55,"tandil, argentina",spanish,male
315,815,english240,"guelph, ontario, canada",english,male
316,817,english241,"wanganui, new zealand",english,female
317,818,english242,"laurel, mississippi, usa",english,female
318,820,english243,"fredericton, new brunswick, canada",english,male
319,821,english244,"san francisco, california, usa",english,male
320,824,english245,"pittsburgh, pennsylvania, usa",english,male
321,825,english246,"los angeles, california, usa",english,male
322,835,english247,"prince rupert, british columbia, canada",english,male
323,838,spanish56,"monterrey, mexico",spanish,male
324,840,english248,"philadelphia, pennsylvania, usa",english,female
325,850,english249,"boston, massachusetts, usa",english,female
326,852,english250,"chester, england, uk",english,male
327,855,english251,"mt. kisco, new york, usa",english,male
328,856,english252,"san jose ca, california, usa",english,female
329,857,english253,"dublin, ireland",english,male
330,858,english254,"eugene, oregon, usa",english,male
331,859,english255,"oamaru, new zealand",english,female
332,861,english256,"laurinburg, north carolina, usa",english,male
333,863,english257,"san diego, california, usa",english,male
334,869,english258,"kilkenny, ireland",english,male
335,870,english259,"singapore, singapore",english,male
336,871,english260,"phoenix, arizona, usa",english,female
337,875,english261,"forestville, maryland, usa",english,female
338,876,english262,"naylor, maryland, usa",english,male
339,884,english263,"oak forest, illinois, usa",english,male
340,886,spanish57,"montevideo, uruguay",spanish,male
341,889,english264,"freemont, california, usa",english,male
342,890,english265,"vancouver wa, washington, usa",english,male
343,899,english266,"san diego, california, usa",english,male
344,900,english267,"leeds, uk",english,male
345,901,english268,"leeds, uk",english,female
346,902,english269,"adelaide, australia",english,female
347,903,english270,"cape town, south africa",english,male
348,904,english271,"cape town, south africa",english,female
349,905,english272,"dallas, texas, usa",english,male
350,906,spanish58,"bogota, colombia",spanish,male
351,907,english273,"blue bell, pennsylvania, usa",english,male
352,908,spanish59,"mayaguez, puerto rico",spanish,female
353,909,english274,"sydney, australia",english,female
354,912,english275,"clifton, new jersey, usa",english,female
355,915,spanish60,"santiago-dr, dominican republic",spanish,female
